Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),SO2,PM25
07-03-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-04-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-05-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-06-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
07-07-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-08-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07-09-2001,46,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,46,.
07-10-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
07-11-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07-12-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
07/13/2001,19,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,19,.
07/14/2001,66,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,66,.
07/15/2001,34,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,34,.
07/16/2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
07/17/2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
07/18/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
07/19/2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
07/20/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/21/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/22/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/23/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/24/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/25/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/26/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
07/27/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
07/28/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
07/29/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
07/31/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-01-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-02-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-03-2001,14,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,14,.
08-04-2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
08-05-2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
08-06-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
08-07-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-08-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-09-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
08-10-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-11-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08-12-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
08/13/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
08/17/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08/18/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
08/19/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
08/20/2001,17,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,17,.
08/21/2001,43,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,43,.
08/22/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
08/23/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
08/24/2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
08/25/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
08/26/2001,13,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,13,.
08/27/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
08/28/2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
08/29/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
08/30/2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
08/31/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09-01-2001,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
09-02-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09-03-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09-06-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09-07-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09-08-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09-09-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09-10-2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09-11-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
09-12-2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
09/13/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09/14/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09/15/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09/16/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09/17/2001,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
09/18/2001,19,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,19,.
09/19/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
09/20/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09/21/2001,1,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,1,.
09/22/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/23/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/24/2001,0,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,0,.
09/25/2001,101,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,101,.
09/26/2001,106,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,106,.
09/27/2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
09/28/2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
