Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
120.37,23,22,70,61,105,57
108.42,25,35,50,36,75,93
82.52,26,39,66,12,69,44
62.13,23,41,36,24,51,51
72.78,26,30,61,26,55,43
111.49,19,31,62,44,98,50
107.9,13,34,95,32,59,52
152.36,14,41,139,33,38,65
104.38,22,44,81,34,88,49
166.84,25,46,153,31,61,58
87.05,24,44,74,29,61,44
101.66,28,39,49,35,83,85
74.17,27,40,62,23,55,47
69.99,28,45,26,41,58,54
89.8,19,74,69,59,60,54
75.41,18,35,39,42,64,51
112.12,23,44,97,28,73,50
88.36,27,67,29,52,74,43
122.79,17,108,40,65,61,51
76.12,14,64,36,38,56,42
86.51,15,71,44,44,70,62
71.52,16,58,43,57,57,55
151.31,17,46,138,46,60,46
109.01,14,47,97,21,58,20
64.63,10,40,56,8,37,25
73.3,17,46,57,18,46,61
90.98,26,46,23,20,70,77
123.39,25,48,107,44,77,55
129.63,18,44,115,55,66,46
68.24,25,48,56,34,48,53
71.44,24,45,34,31,60,51
80.34,18,41,59,35,68,28
72.33,20,49,50,35,53,60
72.07,28,42,60,27,49,53
67.08,27,46,55,32,49,52
78.08,15,43,54,41,66,43
55.98,23,42,43,27,33,46
92.98,28,77,69,23,47,72
126.48,27,97,107,35,60,48
64.69,24,49,40,16,52,53
53.31,22,37,44,15,41,36
79.91,26,32,13,28,72,34
78.33,22,42,69,28,33,30
80.24,26,58,66,35,54,62
84.32,28,50,19,31,73,49
64.47,18,44,11,20,55,40
81.29,16,46,61,23,52,68
113.19,26,48,99,31,64,55
95.05,36,80,23,68,55,56
68,19,43,56,23,40,56
117.41,19,40,107,21,30,48
56.82,25,43,47,23,27,42
67.03,27,47,56,19,47,45
91.15,13,39,65,31,35,78
77,27,44,65,20,33,56
99.07,27,49,86,25,58,52
99.73,19,84,34,58,72,58
83.73,17,34,75,19,36,38
63.27,20,31,37,15,55,31
69.72,25,58,31,20,53,49
110.02,25,97,47,23,58,53
106.62,30,71,56,50,90,71
82.7,25,51,34,61,69,52
103.63,22,87,43,61,76,55
99.51,15,71,82,56,57,77
183.9,18,161,110,56,80,55
80.75,14,51,64,31,67,42
99.71,16,45,51,40,83,82
116.48,27,44,60,34,91,98
82.98,13,35,54,20,53,71
78.34,30,43,59,28,65,55
124.18,28,80,57,38,80,106
177.16,28,154,75,49,78,110
