Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
89.43,56,35,14,0,0,79
91.18,79,34,14,0,0,68
94.12,77,22,14,57,0,79
119.35,96,25,29,0,0,103
127.14,101,27,29,0,0,110
159.23,140,19,29,0,0,116
190.82,168,26,29,0,0,139
163.38,145,44,14,0,0,106
87.47,74,32,14,47,0,68
157.03,142,28,14,0,0,89
161.23,145,19,14,0,0,100
90.09,61,24,14,23,0,79
119.08,82,30,14,0,0,105
161.18,142,30,29,0,0,114
164.36,148,29,14,43,0,89
119.88,101,29,14,0,0,103
119.89,100,22,29,0,0,103
120.24,103,17,29,0,0,103
86.63,39,30,14,0,0,79
86.33,30,37,14,0,0,79
230.62,208,37,29,66,0,120
231.18,214,29,14,0,0,103
138.78,125,33,14,0,0,79
111.13,60,31,29,0,0,100
127.23,109,35,29,0,0,106
125.38,108,42,14,0,0,100
127.61,106,34,29,89,0,106
124.98,108,34,14,0,0,100
54.5,39,33,0,0,0,47
46,39,26,0,0,0,38
95.33,87,20,14,0,0,47
119.88,103,23,14,0,0,103
91.91,75,20,14,19,0,79
68.84,19,35,7,22,59,48
91.86,36,29,11,38,77,77
91.26,40,31,9,50,75,76
74.41,27,29,4,31,63,58
97.24,38,37,4,42,84,64
124.67,28,47,1,40,114,45
95.68,18,44,4,54,84,46
74,36,33,6,34,63,52
82.26,24,26,6,36,71,56
103.09,24,31,9,51,89,69
108.14,30,36,31,49,94,67
84.58,27,37,6,34,63,72
89.4,27,29,3,45,77,60
92.69,44,43,3,35,82,46
73.95,9,37,1,23,65,43
73.61,18,39,3,31,63,51
91.03,24,42,6,43,80,50
103.72,30,43,6,44,91,60
103.27,20,38,1,44,93,46
64.57,9,38,1,24,56,40
80.55,13,40,1,29,72,34
74.64,15,35,1,19,67,34
76.73,20,35,3,25,67,47
69.71,33,33,10,25,59,52
68.47,45,28,6,25,57,54
71.11,26,42,4,25,60,53
77.26,24,40,6,26,67,48
53.52,28,40,4,16,44,44
70.29,28,31,3,25,60,51
90.46,17,36,1,28,81,45
104.74,19,40,6,43,94,49
114.44,13,43,7,38,104,48
76.71,22,38,6,33,66,51
55.55,20,44,1,17,44,46
61.1,26,46,4,17,51,46
67.38,17,42,4,25,56,56
69.12,18,37,1,20,59,50
63.7,15,44,1,22,54,45
63.99,18,40,6,31,53,53
71.32,20,38,3,27,62,43
70.69,8,37,1,21,63,31
65.65,7,39,1,15,58,27
56.19,8,39,1,21,48,35
64.11,13,41,4,23,55,42
62.02,13,32,3,19,53,45
67.95,17,42,3,19,57,54
57.74,19,40,6,20,46,48
71.54,17,40,1,22,63,35
75.55,13,42,3,23,67,30
76.59,10,40,1,29,68,36
75.42,17,41,4,32,65,49
74.73,20,39,14,27,63,58
79.66,20,41,30,28,68,55
133.3,16,47,7,33,120,66
107.31,9,48,3,44,97,35
107.75,8,61,1,34,96,35
62.32,6,43,0,20,54,27
60.01,10,39,1,20,51,43
68.02,14,42,1,19,59,41
62.48,8,42,1,18,54,33
64.64,16,45,4,34,54,49
59.91,27,45,4,29,40,50
67.92,16,47,4,23,41,58
69.15,26,39,6,26,58,54
74.75,13,43,0,50,64,42
54.22,6,46,3,26,28,41
67.73,15,47,7,33,49,57
73.96,15,51,4,31,47,63
86.78,18,74,3,32,60,55
75.74,6,64,1,28,63,32
75.55,7,51,1,30,65,43
79.99,7,44,1,27,71,34
75.23,9,46,4,23,66,33
79.15,7,44,3,29,70,36
81.71,7,37,1,28,74,29
49.16,7,44,0,6,27,17
48.64,6,43,0,11,28,22
58.39,8,49,1,16,46,40
77.87,14,51,6,24,67,48
84.62,19,50,7,26,72,61
97.08,13,51,4,39,86,47
85.53,7,40,7,26,77,36
70.08,7,40,1,19,62,31
53.66,6,46,1,9,40,27
57.08,6,49,4,6,33,41
63.84,13,49,3,15,54,38
68.55,11,44,4,58,49,37
99.85,7,49,1,51,89,30
136.59,8,67,3,51,123,40
79.36,8,47,1,27,70,32
75.54,6,47,0,66,35,31
59.22,11,50,3,16,35,46
79.47,13,67,4,51,57,52
75.26,10,61,4,31,63,45
72.18,9,50,1,32,62,37
72.37,10,61,1,33,51,53
104.56,13,93,1,27,53,54
145.68,16,133,6,30,63,45
103.95,15,90,1,37,67,57
73.33,8,58,3,27,62,38
50.17,3,45,0,8,24,25
52.8,8,46,3,13,32,31
55.79,5,49,0,12,34,27
55.52,7,47,0,19,43,31
68.34,9,58,1,25,55,28
102.07,11,90,1,32,58,50
90.12,11,77,31,32,55,60
90.08,10,77,3,30,66,47
93.57,9,71,4,40,80,35
123.18,10,90,3,40,106,53
202.88,9,179,7,51,136,34
169.26,6,151,0,39,105,22
84.73,6,74,0,18,59,28
65.31,6,41,1,19,57,33
62.62,8,40,3,24,54,39
47.58,5,41,0,9,35,21
68.22,6,58,6,22,51,39
113.35,9,101,6,28,64,39
120.66,6,108,1,31,70,24
115.68,8,101,1,38,79,38
76.18,8,54,13,22,66,26
73.78,5,64,16,18,52,25
82.26,5,71,3,24,61,30
80.18,6,51,1,30,70,36
110.11,8,97,1,32,70,36
114.85,6,101,1,37,75,31
105.31,7,90,1,44,82,33
112.66,8,97,1,44,83,42
135.37,13,119,3,55,83,44
167.18,6,151,1,47,88,25
140.6,6,126,1,44,79,21
174.33,6,159,1,47,83,20
154.96,6,140,0,40,82,27
124.44,8,112,3,35,66,30
96.92,6,84,7,46,64,41
170.37,8,156,3,44,74,44
168.52,7,154,1,36,79,36
99.85,5,87,6,36,68,34
164.73,6,150,0,42,79,33
202.64,7,187,1,44,85,27
189.72,10,172,3,63,90,42
140.44,8,126,3,46,75,35
105.98,6,93,1,46,67,25
113.45,5,101,1,43,65,22
80.3,5,71,0,26,50,20
54.86,5,48,1,22,35,20
77.37,6,67,1,22,55,31
133.1,8,122,1,24,60,29
131.64,7,119,3,31,68,33
113.27,7,100,3,38,70,35
182.36,8,164,3,49,100,36
176.33,6,156,1,48,114,35
146.34,6,129,3,38,99,22
127.61,3,115,1,27,73,12
78.51,5,58,1,28,68,15
64.23,5,54,3,31,53,30
90.16,9,77,3,38,69,35
137,7,122,3,44,79,39
156.73,5,143,3,60,66,35
141.72,5,126,1,41,88,18
147.52,5,133,1,37,82,13
138.19,6,122,6,44,87,38
166.86,6,151,1,44,85,39
169.97,8,154,1,46,86,30
129.48,6,115,1,34,81,25
126.17,5,112,1,28,82,18
148.93,5,133,1,33,91,26
175.14,5,161,1,31,80,24
115.98,6,97,1,36,99,25
120.87,5,108,1,33,71,23
159.26,5,143,1,43,90,25
164.03,6,147,1,46,92,40
108.82,5,93,4,44,86,29
90.58,5,80,1,31,56,26
97.2,6,87,1,21,56,25
80.09,10,71,1,24,45,33
111.72,7,100,4,55,49,42
113.41,9,101,6,31,64,39
138.22,7,126,6,36,63,37
142.36,8,129,7,34,71,36
143.07,5,133,6,29,53,25
130.52,5,119,3,30,63,22
133.65,5,122,9,35,61,26
125.23,6,112,7,36,71,29
