Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
06/29/2009,131,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,6,34,131,51,59,45
06/30/2009,38,PM205,Gary-IITRI/ 121905 meters east of Tennessee St0- old ammuntion bunker,18-089-0022,AQS,7,22,14,31,38,35
07-01-2009,35,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,14,11,15,35,35
07-02-2009,47,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,9,31,27,23,47,37
07-03-2009,60,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,8,39,23,25,60,31
07-04-2009,112,PM205,MAYFAIR PUMP STATION,17-031-0052,AQS,10,40,9,44,112,36
07-05-2009,114,PM205,4TH DISTRICT COURT,17-031-6006,AQS,13,71,52,52,114,47
07-06-2009,71,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,15,71,26,42,69,54
07-07-2009,53,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,9,38,29,30,53,42
07-08-2009,43,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,9,34,41,18,43,37
07-09-2009,67,Ozone,SEARS TOWER,17-031-0042,AQS,10,67,23,23,60,47
07-10-2009,84,PM205,VILLAGE GARAGE,17-031-0001,AQS,11,44,20,50,84,51
07-11-2009,66,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,13,50,16,25,66,43
07-12-2009,63,PM205,CAMP LOGAN TRAILER,17-097-1007,AQS,8,45,40,21,63,42
07/13/2009,46,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,9,44,17,22,46,41
07/14/2009,51,PM205,LIBERTY SCHOOL,17-031-6005,AQS,9,49,23,36,51,42
07/15/2009,63,PM205,LIBERTY SCHOOL,17-031-6005,AQS,7,44,50,28,63,33
07/16/2009,56,SO2,Gary-IITRI/ 121905 meters east of Tennessee St0- old ammuntion bunker,18-089-0022,AQS,6,38,56,37,55,30
07/17/2009,43,PM205,Gary-IITRI/ 121905 meters east of Tennessee St0- old ammuntion bunker,18-089-0022,AQS,6,29,21,31,43,32
07/18/2009,47,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,7,29,24,17,47,23
07/19/2009,61,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,10,39,19,18,61,33
07/20/2009,60,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,11,54,23,31,60,39
07/21/2009,74,Ozone,WATER PLANT,17-031-7002,AQS,17,74,17,37,69,52
07/22/2009,75,PM205,4TH DISTRICT COURT,17-031-6006,AQS,10,71,49,39,75,43
07/23/2009,101,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,11,67,39,37,101,58
07/24/2009,60,PM205,WASHINGTON HS,17-031-0022,AQS,13,49,43,46,60,42
07/25/2009,50,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,39,30,15,50,22
07/26/2009,44,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,43,29,16,44,30
07/27/2009,49,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,44,31,31,49,35
07/28/2009,64,Ozone,JARDINE WATER PLANT,17-031-0072,AQS,8,64,24,27,52,52
07/29/2009,52,NO2,IEPA TRAILER,17-031-3103,AQS,11,44,23,26,43,52
07/30/2009,60,PM205,NORTHBROOK WATER PLANT,17-031-4201,AQS,13,46,33,44,60,50
07/31/2009,52,PM205,Gary-IITRI/ 121905 meters east of Tennessee St0- old ammuntion bunker,18-089-0022,AQS,9,44,47,23,52,42
08-01-2009,52,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,10,41,16,22,52,34
08-02-2009,41,Ozone,VILLAGE GARAGE,17-031-0001,AQS,8,41,34,14,37,22
08-03-2009,55,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,49,14,37,55,40
08-04-2009,72,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,16,64,21,41,72,53
08-05-2009,47,SO2,NIPSCO Wheatfield,18-073-0002,AQS,19,44,47,33,47,35
08-06-2009,54,PM205,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,11,46,40,40,54,42
08-07-2009,56,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,11,43,9,35,56,42
08-08-2009,80,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,9,42,10,31,80,40
08-09-2009,77,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,44,7,28,77,24
08-10-2009,64,Ozone,WATER PLANT,17-031-7002,AQS,6,64,36,24,54,51
08-11-2009,55,PM205,CITY HALL,17-043-4002,AQS,13,40,43,31,55,43
08-12-2009,58,PM205,CITY HALL,17-043-4002,AQS,15,43,17,20,58,31
08/13/2009,77,PM205,VILLAGE HALL,17-031-1016,AQS,14,74,40,52,77,57
08/14/2009,100,Ozone,NORTHBROOK WATER PLANT,17-031-4201,AQS,13,100,14,60,81,56
08/15/2009,115,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,11,115,29,51,83,43
08/16/2009,73,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,8,44,11,33,73,32
08/17/2009,57,NO2,CTA BUILDING,17-031-0063,AQS,9,47,26,22,54,57
08/18/2009,58,Ozone,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,8,58,46,19,51,40
08/19/2009,48,PM205,4TH DISTRICT COURT,17-031-6006,AQS,10,46,27,29,48,38
08/20/2009,39,Ozone,CAMP LOGAN TRAILER,17-097-1007,AQS,7,39,24,19,38,35
08/21/2009,37,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,7,28,21,19,37,35
08/22/2009,30,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,6,26,19,20,30,22
08/23/2009,44,SO2,NIPSCO Wheatfield,18-073-0002,AQS,10,31,44,15,30,25
08/24/2009,52,PM205,COM ED MAINTENANCE BLDG,17-031-0076,AQS,10,44,31,34,52,35
