Overall AQI Value,CO,Ozone,SO2,PM10,PM25,NO2,Wens AQI
87,15,51,84,23,33,87,103.42
85,19,51,34,38,80,85,101.18
203,18,203,72,55,102,91,225.57
80,19,74,39,34,66,80,96.05
71,14,71,31,23,66,68,85.72
69,16,44,54,29,52,69,81.32
161,16,161,82,32,58,86,179.96
161,17,161,71,58,84,102,183.25
93,16,93,55,63,90,85,113.27
72,13,51,72,23,54,54,84.41
147,25,147,64,52,72,73,164.12
150,25,150,64,54,104,46,171.05
84,11,84,34,31,62,69,98.86
91,13,36,37,30,62,91,103.6
77,13,42,77,25,40,39,86.71
76,16,58,76,26,48,61,89.69
150,19,150,41,38,69,64,165.32
177,22,177,46,43,88,79,196.15
217,17,217,61,49,93,52,236.19
115,13,115,69,58,80,49,132.72
53,11,46,29,33,53,47,63.7
57,15,35,21,26,48,57,67.04
63,15,61,24,49,63,50,76.26
57,18,44,49,30,55,57,69.36
54,16,45,51,41,54,31,65.5
116,15,49,116,41,53,44,128.25
51,16,43,17,18,40,51,60.31
53,20,44,31,29,53,53,64.55
101,19,101,26,50,90,70,119.71
64,14,46,34,30,53,64,75.67
100,14,46,100,19,65,72,115.49
67,18,67,33,31,66,57,81.21
93,23,93,64,30,70,52,108.57
102,7,54,102,27,56,52,114.75
101,10,101,71,32,73,56,117.36
89,9,67,89,31,58,55,103.76
108,20,108,77,34,71,57,125.12
122,19,122,54,49,78,53,138.63
122,22,122,62,37,86,54,140.04
119,26,119,66,51,96,52,139.02
78,24,74,34,58,78,41,93.74
91,16,44,91,28,55,58,104.05
87,16,58,62,43,47,87,101.16
75,20,50,75,34,44,71,89.91
129,25,129,59,37,74,85,147.62
195,27,195,65,63,94,79,215.88
195,30,195,109,60,132,83,223.41
154,32,154,69,64,115,87,178.58
139,26,115,139,80,88,72,163.95
61,17,42,61,24,37,43,70.94
76,26,50,76,55,64,56,90.76
96,28,87,96,60,61,70,115.25
147,31,147,99,47,87,73,168.91
67,15,67,23,33,47,34,77.02
58,30,46,54,42,53,58,70.81
104,32,71,104,60,87,101,126.44
72,24,48,21,37,72,65,85.58
59,18,28,59,55,53,44,71.52
59,20,26,29,59,36,41,68.25
81,19,46,81,19,36,78,96.29
96,18,33,59,32,41,96,108.38
86,17,39,56,67,50,86,100.8
69,24,32,59,20,26,69,80.65
57,31,49,31,51,52,57,69.26
112,28,74,57,56,112,71,129.19
67,15,46,44,34,67,56,79.41
101,32,101,46,40,89,57,119.24
99,32,80,67,49,99,50,116.65
89,20,71,64,63,67,89,105.74
93,24,58,47,50,78,93,109.78
71,22,44,39,27,71,44,81.34
58,22,26,43,30,58,55,69.74
52,23,32,50,19,52,49,63.24
62,38,33,37,33,62,41,71.78
47,38,40,40,42,47,39,57.26
57,33,29,49,44,57,50,68.78
64,32,36,34,49,58,64,76.87
94,27,31,94,55,66,60,108.89
76,35,33,39,59,76,70,91.26
145,36,41,60,63,145,70,161.03
92,31,31,23,58,92,39,104.12
82,27,31,36,53,82,46,93.86
58,33,35,20,38,58,54,69.56
65,31,29,65,64,55,52,79.3
74,25,35,30,19,36,74,82.44
59,30,22,43,24,59,53,70.4
65,36,33,37,39,60,65,77.74
74,32,26,74,40,74,33,88.66
