Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
02-11-2014,75,PM2.5,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,17,31,26,55,75,72
02-12-2014,102,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,13,29,39,64,102,66
02/13/2014,133,PM2.5,Gary- Burr St./ pumping station near truck stop,18-089-0026,AQS,13,44,21,61,133,80
02/14/2014,89,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,11,35,21,53,89,52
02/15/2014,89,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,13,38,24,42,89,47
02/16/2014,77,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,46,7,32,77,32
02/17/2014,94,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,11,40,33,38,94,56
02/18/2014,75,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,13,42,61,36,75,60
02/19/2014,77,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,43,31,33,77,56
02/20/2014,74,PM2.5,Hammond- Purdue/ Powers Bldg. Purdue University,18-089-2004,AQS,11,36,14,24,74,45
02/21/2014,43,PM2.5,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,9,40,6,19,43,35
02/22/2014,42,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,42,20,19,42,32
02/23/2014,52,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,9,42,14,14,52,36
02/24/2014,49,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,39,19,19,49,35
02/25/2014,56,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,36,16,23,56,33
02/26/2014,66,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,10,37,30,53,66,35
02/27/2014,92,PM10,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,14,38,20,92,65,43
02/28/2014,61,PM2.5,COM ED MAINTENANCE BLDG,17-031-0076,AQS,13,30,10,35,61,53
03-01-2014,70,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,14,38,14,33,70,41
03-02-2014,55,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,13,37,3,19,55,30
