Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
10-06-2017,52,PM2.5,SPRINGFIELD PUMP STATION,17-031-0057,AQS,6,34,3,19,52,25
10-07-2017,48,PM2.5,LIBERTY SCHOOL,17-031-6005,AQS,2,42,23,25,48,20
10-08-2017,44,Ozone,KENOSHA - WATER TOWER,55-059-0025,AQS,3,44,11,14,34,36
10-09-2017,74,SO2,NIPSCO Dunes Acres,18-127-0011,AQS,7,46,74,30,48,44
10-10-2017,57,PM2.5,IEPA TRAILER,17-031-3103,AQS,7,32,3,34,57,13
10-11-2017,37,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,37,1,6,28,17
10-12-2017,40,PM2.5,VILLAGE GARAGE,17-031-0001,AQS,5,33,4,10,40,23
10/13/2017,45,PM2.5,IEPA TRAILER,17-031-3103,AQS,3,38,3,18,45,29
10/14/2017,50,PM2.5,CITY HALL,17-043-4002,AQS,6,33,3,16,50,30
10/15/2017,34,PM2.5,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,3,30,19,24,34,27
10/16/2017,40,NO2,IEPA TRAILER,17-031-3103,AQS,5,32,27,21,31,40
10/17/2017,42,Ozone,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,5,42,4,32,26,32
10/18/2017,47,Ozone,COM ED TRAINING CENTER,17-197-1011,AQS,2,47,4,25,38,34
10/19/2017,47,NO2,IEPA TRAILER,17-031-3103,AQS,6,41,20,26,41,47
10/20/2017,67,PM2.5,REGIONAL OFFICE BUILDING,17-031-4007,AQS,5,61,6,40,67,42
10/21/2017,51,PM2.5,CITY HALL,17-043-4002,AQS,3,44,6,24,51,20
10/22/2017,41,Ozone,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,3,41,3,16,40,18
10/23/2017,41,Ozone,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,5,41,10,8,28,33
