Overall AQI Value,Ozone,PM25,NO2
147,147,87,73
67,67,47,34
58,46,53,58
104,71,87,101
72,48,72,65
59,28,53,44
59,26,36,41
81,46,36,78
96,33,41,96
86,39,50,86
69,32,26,69
57,49,52,57
112,74,112,71
67,46,67,56
101,101,89,57
99,80,99,50
89,71,67,89
93,58,78,93
71,44,71,44
58,26,58,55
52,32,52,49
62,33,62,41
47,40,47,39
57,29,57,50
64,36,58,64
94,31,66,60
76,33,76,70
145,41,145,70
92,31,92,39
82,31,82,46
58,35,58,54
65,29,55,52
74,35,36,74
59,22,59,53
65,33,60,65
74,26,74,33
79,32,79,39
70,31,68,70
68,19,64,68
62,28,57,62
54,29,52,30
71,20,71,51
63,17,63,38
49,27,49,30
59,29,39,49
54,27,45,38
82,31,50,82
107,22,62,107
61,25,61,47
52,24,52,38
68,19,68,42
112,26,112,86
97,16,97,53
93,18,93,35
82,24,82,57
60,33,37,60
59,31,59,35
93,19,93,35
66,12,55,66
70,19,70,53
67,26,67,57
48,32,45,48
42,33,24,42
49,32,35,31
54,29,54,46
92,10,92,68
81,17,81,77
93,10,76,93
118,26,56,55
126,23,62,94
90,20,60,90
55,19,45,30
77,21,52,61
76,12,76,64
84,22,84,58
117,19,117,41
110,20,39,40
133,31,133,38
67,22,61,40
98,33,51,98
73,27,73,73
74,31,74,69
95,19,95,77
76,13,76,45
78,17,78,35
77,29,72,45
81,19,80,81
99,11,99,63
101,11,87,87
91,7,91,54
116,10,116,48
106,15,106,37
87,35,65,29
57,35,57,39
67,18,67,36
66,24,66,43
72,13,64,72
44,21,44,37
47,23,39,40
57,21,53,30
59,25,59,48
73,23,73,50
70,21,53,27
101,19,66,42
92,13,92,46
153,15,153,38
124,27,124,40
69,27,69,40
98,26,98,65
50,30,21,30
73,28,39,73
93,25,83,93
81,18,81,52
95,14,95,34
73,27,73,57
60,13,60,40
110,22,48,38
95,26,52,40
59,24,58,42
56,27,43,36
48,25,48,42
72,26,65,56
64,24,64,47
99,23,99,61
97,28,78,60
82,29,76,65
67,20,67,37
62,27,49,42
69,27,66,61
99,29,99,82
137,27,133,55
128,26,128,50
76,20,76,51
52,27,45,37
81,33,81,44
83,26,83,69
87,12,87,60
67,25,67,64
99,25,99,62
77,9,77,50
89,15,89,34
116,11,116,30
89,18,89,58
63,27,63,40
55,22,54,55
54,23,53,49
58,26,58,52
67,30,67,38
55,28,30,47
91,29,58,54
104,31,75,49
53,30,53,42
68,27,64,68
107,34,107,102
36,33,22,28
49,35,27,28
79,29,79,71
83,19,83,51
66,28,62,56
71,27,71,51
86,20,86,63
67,33,55,54
86,35,86,31
59,30,59,53
91,24,91,71
137,36,137,61
83,29,58,83
127,28,127,101
152,27,152,61
65,33,65,42
58,26,58,53
78,29,78,63
55,40,55,50
70,39,70,70
123,21,123,63
85,31,85,49
69,38,62,40
96,32,86,82
74,27,74,51
93,31,93,60
70,42,70,58
70,36,62,70
99,30,99,50
127,43,127,66
96,44,96,88
105,36,105,61
101,32,101,65
72,28,67,72
71,32,41,71
63,24,63,41
119,47,70,64
61,49,57,61
67,40,67,55
72,41,63,65
56,41,56,52
75,32,65,42
55,39,43,39
49,41,40,49
65,41,65,54
80,67,79,80
122,51,88,74
134,34,134,39
